id,dialogue,summary
d95c2d21,"Samantha: hey i need to return this laptop
Samantha: its been freezing nonstop
Customer Support: what's the order number?
Samantha: um lets see... 1234
Customer Support: ok great we can send a replacement",Samantha is returning a faulty laptop that has been freezing nonstop.
3420d3e5,"Jake: did u see the new iphone?
Emily: yeah i just got it lol
Jake: how is it?
Emily: its really good camera is amazing
Jake: thats whats holding me back from getting the samsung
Emily: yeah samsungs camera isnt as good","Jake and Emily are comparing the new iPhone and Samsung phones, discussing the camera quality."
7344bda7,"Mike: hey whats going on?
Sarah: we need to talk
Mike: whats wrong?
Sarah: i dont think we should be together anymore
Mike: why not?
Sarah: i just dont feel the same way anymore","Sarah is breaking up with Mike, telling him she no longer feels the same way about their relationship."
817bffd1,"Emily: hey we need to plan a surprise party for john
David: yeah i know his bday is next week
Emily: exactly so we need to get everything ready
David: what's the theme?
Emily: lets do a sports theme
David: sounds good to me",Emily and David are planning a surprise party for John with a sports theme.
6504b6c1,"David: hey i dont feel so good
Sarah: what's wrong?
David: i have a headache and im tired
Sarah: maybe u should go to the doctor
David: idk maybe its just a cold
Sarah: yeah maybe","David is feeling unwell with a headache and fatigue, and Sarah suggests he should visit a doctor."
151d630e,"Karen: hey did u hear about the new manager?
Tom: no whats going on?
Karen: apparently hes really strict
Tom: thats what i heard too
Karen: and hes already fired 2 people
Tom: wow thats crazy","Karen and Tom are gossiping about the new manager at their workplace, who is reportedly strict and has already fired two employees."
271fdde4,"Lisa: hey have u seen my dog?
Tom: no i havent
Lisa: hes been missing since yesterday
Tom: thats so scary
Lisa: i know i need to find him
Tom: dont worry we'll find him","Lisa's dog has been missing since yesterday, and Tom is trying to reassure her that they will find him."
34e1cbf6,"Samantha: hey can u pet sit for me?
David: yeah sure when r u leaving?
Samantha: tomorrow for a week
David: ok got it
Samantha: thanks so much","Samantha asks David to pet sit for her while she is away for a week, and he agrees."
7e650ed8,"Jake: hey my code isnt working
Emily: whats the error message?
Jake: it says syntax error
Emily: can u send me the code?
Jake: yeah sure
Emily: ok i see the problem now","Jake is having trouble with his code and asks Emily for help, who identifies the problem after seeing the code."
bf94c4f3,"Mike: hey i need to cancel our plans
Sarah: what's going on?
Mike: something came up
Sarah: ok thats fine
Mike: sorry for the last minute notice
Sarah: its ok these things happen","Mike cancels his plans with Sarah due to something unexpected coming up, and she understands."
fabf8458,"Samantha: hey i need to return this phone bc its faulty
Samantha: i've had it for like 2 weeks and the screen is already cracked
CustomerSupport: sorry to hear that can you pls send us a pic of the crack
Samantha: ok here u go
CustomerSupport: thx we'll send u a replacement ASAP",Samantha is returning her faulty phone to the customer support.
b4f6d247,"Mike: i dont think we should be together anymore
Emily: what?! why not?! 
Mike: i just dont feel the same way about u anymore
Emily: thats not fair u cant just say that out of nowhere
Mike: i'm sorry emily i really am",Mike breaks up with Emily because he doesn't feel the same way about her anymore.
d95ff150,"David: have u seen the new iphone
Chris: yeah i just got it yesterday
David: how is it
Chris: its really good the camera is amazing
David: that sounds awesome i'm thinking of getting the samsung instead
Chris: why not the iphone
David: bc its cheaper lol",David and Chris compare the new iPhone and Samsung phones.
5c153e9b,"Alex: can u pls keep it down im trying to study
Roommate: sorry dude i didnt realize u were studying
Alex: its ok just try to be more quiet next time
Roommate: will do sorry again",Alex asks his roommate to keep the noise down so he can study.
c8dfe8c4,"Jake: dude ur music is so loud
Roommate: oh sorry jake i'll turn it down
Jake: thx man i have an early meeting tmrw
Roommate: np good luck with ur meeting",Jake asks his roommate to turn down the music because he has an early meeting.
8df04459,"Sarah: hey we need to plan a surprise party for emily
Tom: thats a great idea what's the theme
Sarah: i was thinking maybe a picnic
Tom: sounds perfect what can i do to help
Sarah: can u bring the food and drinks
Tom: sure thing",Sarah and Tom plan a surprise party for Emily with a picnic theme.
0fe4781a,"Ben: can u pls stop making so much noise im trying to sleep
Roommate: oh sorry ben i forgot u were sleeping
Ben: its ok just try to be more quiet next time
Roommate: will do sorry again",Ben asks his roommate to keep the noise down so he can sleep.
42a502c9,"Olivia: hey i'm so sorry but i have to cancel our plans
Matt: aw ok what's wrong
Olivia: i'm just not feeling well
Matt: thats ok feel better soon
Olivia: thx matt",Olivia cancels her plans with Matt because she's not feeling well.
41d47c35,"Ava: what do u want to eat
Liam: idk what do u want
Ava: i'm in the mood for something italian
Liam: pizza sounds good to me
Ava: yeah me too lets order from that new place",Ava and Liam decide to eat Italian food and order pizza from a new place.
5f92a0b3,"Ethan: hey i'm running late sorry
Rachel: its ok how long will u be
Ethan: like 20 mins
Rachel: alright i'll wait for u
Ethan: thx rachel u're the best","Ethan is running late and apologizes to Rachel, who agrees to wait for him."
95a14423,"Samantha: hey girl wanna do yoga tmrw morning?
Emily: yeah whats the schedule looking like?
Samantha: there's a class at 9:30 or 11:00 which one r u free for?
Emily: idk whats the difference between the two?
Samantha: one is beginner and one is advanced lol
Emily: oh ok then def the beginner one
Samantha: k cool i'll meet u there at 9:30",Samantha and Emily plan to attend a beginner yoga class together at 9:30 the next morning.
2397b703,"Mike: yo have u seen the questions for the job interview?
David: yeah i found some online u should check them out
Mike: k thx man i'm gonna go over them rn
David: yeah u should bc the interviewer can ask anything
Mike: ugh i'm so nervous lol
David: dont worry u'll do fine just be urself",Mike and David discuss preparing for an upcoming job interview by reviewing potential questions.
052760f0,"Jessica: hey my car wont start did u have any car trouble like this?
Tom: yeah it happens to me all the time lol
Jessica: lol ok so whats the solution?
Tom: u should try jumpstarting it first
Jessica: k will do thx
Tom: np if it doesnt work we can take it to the mechanic",Jessica's car won't start and Tom suggests trying to jumpstart it before taking it to a mechanic.
16df13ff,"Ben: hey so i got the job offer but the salary is kinda low
Alex: congrats on the job offer!!
Ben: thx but yeah i dont know if i should take it
Alex: what's the salary they're offering?
Ben: 50k
Alex: thats not bad at all u should negotiate
Ben: really? how do i do that?",Ben receives a job offer but is unsure due to a lower salary and considers negotiating with Alex's advice.
